compiler,opt,pattern,depth,loads,branches,basic_blocks,instructions,hs_deref_ops,hs_guards,hs_deopts,hs_ir_nodes
gcc,O0,plain,1,2,0,1,8,,,,
gcc,O0,plain,2,3,0,1,9,2,2,2,2
gcc,O0,plain,3,4,0,1,10,3,3,3,3
gcc,O0,plain,4,5,0,1,11,,,,
gcc,O0,plain,5,6,0,1,12,5,5,5,5
gcc,O0,plain,6,7,0,1,13,,,,
gcc,O0,plain,7,8,0,1,14,,,,
gcc,O0,plain,8,9,0,1,15,8,8,8,8
gcc,O0,plain,9,10,0,1,16,,,,
gcc,O0,plain,10,11,0,1,17,,,,
gcc,O0,plain,11,12,0,1,18,,,,
gcc,O0,plain,12,13,0,1,19,,,,
gcc,O0,plain,13,14,0,1,20,,,,
gcc,O0,plain,14,15,0,1,21,,,,
gcc,O0,plain,15,16,0,1,22,,,,
gcc,O0,plain,16,17,0,1,23,,,,
gcc,O0,const,1,2,0,1,8,,,,
gcc,O0,const,2,3,0,1,10,4,6,6,6
gcc,O0,const,3,4,0,1,12,6,9,9,9
gcc,O0,const,4,5,0,1,14,,,,
gcc,O0,const,5,6,0,1,16,10,15,15,15
gcc,O0,const,6,7,0,1,18,,,,
gcc,O0,const,7,8,0,1,20,,,,
gcc,O0,const,8,9,0,1,22,16,24,24,24
gcc,O0,const,9,10,0,1,24,,,,
gcc,O0,const,10,11,0,1,26,,,,
gcc,O0,const,11,12,0,1,28,,,,
gcc,O0,const,12,13,0,1,30,,,,
gcc,O0,const,13,14,0,1,32,,,,
gcc,O0,const,14,15,0,1,34,,,,
gcc,O0,const,15,16,0,1,36,,,,
gcc,O0,const,16,17,0,1,38,,,,
gcc,O0,dyn,1,3,0,1,13,,,,
gcc,O0,dyn,2,5,0,1,19,2,6,6,4
gcc,O0,dyn,3,7,0,1,25,3,9,9,6
gcc,O0,dyn,4,9,0,1,31,,,,
gcc,O0,dyn,5,11,0,1,37,5,15,15,10
gcc,O0,dyn,6,13,0,1,42,,,,
gcc,O0,dyn,7,15,0,1,47,,,,
gcc,O0,dyn,8,17,0,1,52,8,24,24,16
gcc,O0,dyn,9,19,0,1,57,,,,
gcc,O0,dyn,10,21,0,1,62,,,,
gcc,O0,dyn,11,23,0,1,67,,,,
gcc,O0,dyn,12,25,0,1,72,,,,
gcc,O0,dyn,13,27,0,1,77,,,,
gcc,O0,dyn,14,29,0,1,82,,,,
gcc,O0,dyn,15,31,0,1,87,,,,
gcc,O0,dyn,16,33,0,1,92,,,,
gcc,O0,checks,1,3,1,2,16,,,,
gcc,O0,checks,2,6,2,3,27,2,4,16,12
gcc,O0,checks,3,9,3,4,38,3,6,24,18
gcc,O0,checks,4,12,4,5,49,,,,
gcc,O0,checks,5,15,5,6,60,5,10,40,30
gcc,O0,checks,6,18,6,7,70,,,,
gcc,O0,checks,7,21,7,8,80,,,,
gcc,O0,checks,8,24,8,9,90,8,16,64,48
gcc,O0,checks,9,27,9,10,100,,,,
gcc,O0,checks,10,30,10,11,110,,,,
gcc,O0,checks,11,33,11,12,120,,,,
gcc,O0,checks,12,36,12,13,131,,,,
gcc,O0,checks,13,39,13,14,141,,,,
gcc,O0,checks,14,42,14,15,151,,,,
gcc,O0,checks,15,45,15,16,161,,,,
gcc,O0,checks,16,48,16,17,171,,,,
gcc,O2,plain,1,1,0,1,3,,,,
gcc,O2,plain,2,2,0,1,4,2,2,2,2
gcc,O2,plain,3,3,0,1,5,3,3,3,3
gcc,O2,plain,4,4,0,1,6,,,,
gcc,O2,plain,5,5,0,1,7,5,5,5,5
gcc,O2,plain,6,6,0,1,8,,,,
gcc,O2,plain,7,7,0,1,9,,,,
gcc,O2,plain,8,8,0,1,10,8,8,8,8
gcc,O2,plain,9,9,0,1,11,,,,
gcc,O2,plain,10,10,0,1,12,,,,
gcc,O2,plain,11,11,0,1,13,,,,
gcc,O2,plain,12,12,0,1,14,,,,
gcc,O2,plain,13,13,0,1,15,,,,
gcc,O2,plain,14,14,0,1,16,,,,
gcc,O2,plain,15,15,0,1,17,,,,
gcc,O2,plain,16,16,0,1,18,,,,
gcc,O2,const,1,1,0,1,3,,,,
gcc,O2,const,2,2,0,1,4,4,6,6,6
gcc,O2,const,3,3,0,1,5,6,9,9,9
gcc,O2,const,4,4,0,1,6,,,,
gcc,O2,const,5,5,0,1,7,10,15,15,15
gcc,O2,const,6,6,0,1,8,,,,
gcc,O2,const,7,7,0,1,9,,,,
gcc,O2,const,8,8,0,1,10,16,24,24,24
gcc,O2,const,9,9,0,1,11,,,,
gcc,O2,const,10,10,0,1,12,,,,
gcc,O2,const,11,11,0,1,13,,,,
gcc,O2,const,12,12,0,1,14,,,,
gcc,O2,const,13,13,0,1,15,,,,
gcc,O2,const,14,14,0,1,16,,,,
gcc,O2,const,15,15,0,1,17,,,,
gcc,O2,const,16,16,0,1,18,,,,
gcc,O2,dyn,1,1,0,1,4,,,,
gcc,O2,dyn,2,2,0,1,6,2,6,6,4
gcc,O2,dyn,3,3,0,1,8,3,9,9,6
gcc,O2,dyn,4,4,0,1,10,,,,
gcc,O2,dyn,5,5,0,1,12,5,15,15,10
gcc,O2,dyn,6,7,0,1,14,,,,
gcc,O2,dyn,7,9,0,1,16,,,,
gcc,O2,dyn,8,11,0,1,18,8,24,24,16
gcc,O2,dyn,9,13,0,1,20,,,,
gcc,O2,dyn,10,15,0,1,22,,,,
gcc,O2,dyn,11,17,0,1,24,,,,
gcc,O2,dyn,12,19,0,1,26,,,,
gcc,O2,dyn,13,21,0,1,28,,,,
gcc,O2,dyn,14,23,0,1,30,,,,
gcc,O2,dyn,15,25,0,1,32,,,,
gcc,O2,dyn,16,27,0,1,34,,,,
gcc,O2,checks,1,1,1,3,7,,,,
gcc,O2,checks,2,2,2,3,11,2,4,16,12
gcc,O2,checks,3,3,3,3,15,3,6,24,18
gcc,O2,checks,4,4,4,3,19,,,,
gcc,O2,checks,5,5,5,3,23,5,10,40,30
gcc,O2,checks,6,7,6,3,27,,,,
gcc,O2,checks,7,9,7,3,31,,,,
gcc,O2,checks,8,11,8,3,35,8,16,64,48
gcc,O2,checks,9,13,9,3,39,,,,
gcc,O2,checks,10,15,10,3,43,,,,
gcc,O2,checks,11,17,11,3,47,,,,
gcc,O2,checks,12,19,12,3,51,,,,
gcc,O2,checks,13,21,13,3,55,,,,
gcc,O2,checks,14,23,14,3,59,,,,
gcc,O2,checks,15,25,15,3,63,,,,
gcc,O2,checks,16,27,16,3,67,,,,
